id,description,value
1014055,to buy and sell footwear,0
1014202,to pay for the rental of 3 hectares of land where she cultivates basic grains.,0
1014617,to pay for 450 kgs of potato seeds and 150 packages of fodder to feed the livestock.,1
1015061,pay for medical treatment.,0
1015539,"to buy  more soft drinks, bread and other kind of products for her grocery store",0
1015705,to add more stock to his retail shop and also to start up a new mobile money service famously known as Tigo Pesa.,0
1015927,to pay for an old Soviet Union production truck to transport his harvest and animals from his farm to the market.,0
1015328,to pay rent expenses until she can rebuild her old house.,0
1014200,to buy corn to sell tortillas and to invest in buying livestock.,0
1014639,to invest in the production and cultivation of potatoes.,0
1014975,to buy beauty products for her beauty parlor.,0
1015317,"to restock sheets, blankets and curtains in bulk for reselling in Mozambique.",0
1013693,to build a fitting house for her family.,0
1013826,to buy dairy cows in order to increase his livestock headcount and organic milk production volumes,1
1014139,"to buy a variety of clothing, shoes, stationery items, and various other products",0
1014635,to buy a new winter collection of shoes to sell at his stall.,0
1014648,to pay for tools and materials for providing auto repair work.,0
1014751,to acquire a large space for his barbershop.,0
1014767,to buy cooking ingredients wholesale so that she will have time to care for her baby.,0
1014870,to buy silverware to sell in her gift shop.,0
1014885,"to buy food for pigs, toothbrushes, toothpaste, Garden products, etc. ",1
1014987,to buy more fabric and other sewing accessories,0
1015024,to buy more chests and cradles,0
1015404,to buy cattle for fattening and trade.,1
1015457,To purchase agricultural supplies for his cabbage crop.,0
1015527,to pay for repairs of his house,0
1015734,to buy stock of cardboard for making boxes so he can fulfill his new contract.,0
1015796,"to pay for a sow, purchase forage for feeding the livestock and to renovate the engine of a tractor to organize harvesting.",1
1015837,to buy the latest style of clothes to meet her customer's requirements.,0
1015857,to purchase a new trailer so she can continue working and improve her business.,0
1015917,to pay for potato seeds to feed the livestock,1
1015989,buy 10 bags of fertilizer and 5 boxes of herbicide.,0
1014249,to buy blankets in bulk for resale.,0
1015726,to buy a compression molding machine and plastic crushing raw materials for manufacturing plastic accessories. ,0
1015736,to purchase a car and start a taxi business.,0
1015810,"to pay for 5 piglets, fertilizer, forage for feeding the livestock and organizes partial renovation of the tractor",1
1015838,to restock her new grocery store with more crates of beers and soda to cover ongoing customers demand.,0
1015914,to buy cocoa for resale.,0
1016324,to stock up her pharmacy and grocery store.,0
1016334,to finance her poultry farming.,1
